MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
18.0,8,307.0,130.0,3504,120,70,1
15.0,8,350.0,165.0,3693,115,70,1
18.0,8,318.0,150.0,3436,110,70,1
16.0,8,304.0,150.0,3433,120,70,1
17.0,8,302.0,140.0,3449,105,70,1
15.0,8,429.0,198.0,4341,100,70,1
14.0,8,454.0,220.0,4354,90,70,1
14.0,8,440.0,215.0,4312,85,70,1
14.0,8,455.0,225.0,4425,100,70,1
15.0,8,390.0,190.0,3850,85,70,1
15.0,8,383.0,170.0,3563,100,70,1
14.0,8,340.0,160.0,3609,80,70,1
15.0,8,400.0,150.0,3761,95,70,1
14.0,8,455.0,225.0,3086,100,70,1
24.0,4,113.0,95.00,2372,150,70,3
22.0,6,198.0,95.00,2833,155,70,1
18.0,6,199.0,97.00,2774,155,70,1
21.0,6,200.0,85.00,2587,160,70,1
27.0,4,970.0,88.00,2130,145,70,3
26.0,4,970.0,46.00,1835,205,70,2
25.0,4,110.0,87.00,2672,175,70,2
24.0,4,107.0,90.00,2430,145,70,2
25.0,4,104.0,95.00,2375,175,70,2
26.0,4,121.0,113.0,2234,125,70,2
21.0,6,199.0,90.00,2648,150,70,1
10.0,8,360.0,215.0,4615,140,70,1
10.0,8,307.0,200.0,4376,150,70,1
11.0,8,318.0,210.0,4382,135,70,1
9.0,8,304.0,193.0,4732,185,70,1
27.0,4,970.0,88.00,2130,145,71,3
28.0,4,140.0,90.00,2264,155,71,1
25.0,4,113.0,95.00,2228,140,71,3
19.0,6,232.0,100.0,2634,130,71,1
16.0,6,225.0,105.0,3439,155,71,1
17.0,6,250.0,100.0,3329,155,71,1
19.0,6,250.0,88.00,3302,155,71,1
18.0,6,232.0,100.0,3288,155,71,1
14.0,8,350.0,165.0,4209,120,71,1
14.0,8,400.0,175.0,4464,115,71,1
14.0,8,351.0,153.0,4154,135,71,1
14.0,8,318.0,150.0,4096,130,71,1
12.0,8,383.0,180.0,4955,115,71,1
13.0,8,400.0,170.0,4746,120,71,1
13.0,8,400.0,175.0,5140,120,71,1
18.0,6,258.0,110.0,2962,135,71,1
22.0,4,140.0,72.00,2408,190,71,1
19.0,6,250.0,100.0,3282,150,71,1
18.0,6,250.0,88.00,3139,145,71,1
23.0,4,122.0,86.00,2220,140,71,1
28.0,4,116.0,90.00,2123,140,71,2
30.0,4,790.0,70.00,2074,195,71,2
30.0,4,880.0,76.00,2065,145,71,2
31.0,4,710.0,65.00,1773,190,71,3
35.0,4,720.0,69.00,1613,180,71,3
27.0,4,970.0,60.00,1834,190,71,2
26.0,4,910.0,70.00,1955,205,71,1
24.0,4,113.0,95.00,2278,155,72,3
25.0,4,975.0,80.00,2126,170,72,1
23.0,4,970.0,54.00,2254,235,72,2
20.0,4,140.0,90.00,2408,195,72,1
21.0,4,122.0,86.00,2226,165,72,1
13.0,8,350.0,165.0,4274,120,72,1
14.0,8,400.0,175.0,4385,120,72,1
15.0,8,318.0,150.0,4135,135,72,1
14.0,8,351.0,153.0,4129,130,72,1
17.0,8,304.0,150.0,3672,115,72,1
11.0,8,429.0,208.0,4633,110,72,1
13.0,8,350.0,155.0,4502,135,72,1
12.0,8,350.0,160.0,4456,135,72,1
13.0,8,400.0,190.0,4422,125,72,1
19.0,3,700.0,97.00,2330,135,72,3
15.0,8,304.0,150.0,3892,125,72,1
13.0,8,307.0,130.0,4098,140,72,1
13.0,8,302.0,140.0,4294,160,72,1
14.0,8,318.0,150.0,4077,140,72,1
18.0,4,121.0,112.0,2933,145,72,2
22.0,4,121.0,76.00,2511,180,72,2
21.0,4,120.0,87.00,2979,195,72,2
26.0,4,960.0,69.00,2189,180,72,2
22.0,4,122.0,86.00,2395,160,72,1
28.0,4,970.0,92.00,2288,170,72,3
23.0,4,120.0,97.00,2506,145,72,3
28.0,4,980.0,80.00,2164,150,72,1
27.0,4,970.0,88.00,2100,165,72,3
13.0,8,350.0,175.0,4100,130,73,1
14.0,8,304.0,150.0,3672,115,73,1
13.0,8,350.0,145.0,3988,130,73,1
14.0,8,302.0,137.0,4042,145,73,1
15.0,8,318.0,150.0,3777,125,73,1
12.0,8,429.0,198.0,4952,115,73,1
13.0,8,400.0,150.0,4464,120,73,1
13.0,8,351.0,158.0,4363,130,73,1
14.0,8,318.0,150.0,4237,145,73,1
13.0,8,440.0,215.0,4735,110,73,1
12.0,8,455.0,225.0,4951,110,73,1
13.0,8,360.0,175.0,3821,110,73,1
18.0,6,225.0,105.0,3121,165,73,1
16.0,6,250.0,100.0,3278,180,73,1
18.0,6,232.0,100.0,2945,160,73,1
18.0,6,250.0,88.00,3021,165,73,1
23.0,6,198.0,95.00,2904,160,73,1
26.0,4,970.0,46.00,1950,210,73,2
11.0,8,400.0,150.0,4997,140,73,1
12.0,8,400.0,167.0,4906,125,73,1
13.0,8,360.0,170.0,4654,130,73,1
12.0,8,350.0,180.0,4499,125,73,1
18.0,6,232.0,100.0,2789,150,73,1
20.0,4,970.0,88.00,2279,190,73,3
21.0,4,140.0,72.00,2401,195,73,1
22.0,4,108.0,94.00,2379,165,73,3
18.0,3,700.0,90.00,2124,135,73,3
19.0,4,122.0,85.00,2310,185,73,1
21.0,6,155.0,107.0,2472,140,73,1
26.0,4,980.0,90.00,2265,155,73,2
15.0,8,350.0,145.0,4082,130,73,1
16.0,8,400.0,230.0,4278,950,73,1
29.0,4,680.0,49.00,1867,195,73,2
24.0,4,116.0,75.00,2158,155,73,2
20.0,4,114.0,91.00,2582,140,73,2
19.0,4,121.0,112.0,2868,155,73,2
15.0,8,318.0,150.0,3399,110,73,1
24.0,4,121.0,110.0,2660,140,73,2
20.0,6,156.0,122.0,2807,135,73,3
11.0,8,350.0,180.0,3664,110,73,1
20.0,6,198.0,95.00,3102,165,74,1
19.0,6,232.0,100.0,2901,160,74,1
15.0,6,250.0,100.0,3336,170,74,1
31.0,4,790.0,67.00,1950,190,74,3
26.0,4,122.0,80.00,2451,165,74,1
32.0,4,710.0,65.00,1836,210,74,3
25.0,4,140.0,75.00,2542,170,74,1
16.0,6,250.0,100.0,3781,170,74,1
16.0,6,258.0,110.0,3632,180,74,1
18.0,6,225.0,105.0,3613,165,74,1
16.0,8,302.0,140.0,4141,140,74,1
13.0,8,350.0,150.0,4699,145,74,1
14.0,8,318.0,150.0,4457,135,74,1
14.0,8,302.0,140.0,4638,160,74,1
14.0,8,304.0,150.0,4257,155,74,1
29.0,4,980.0,83.00,2219,165,74,2
26.0,4,790.0,67.00,1963,155,74,2
26.0,4,970.0,78.00,2300,145,74,2
31.0,4,760.0,52.00,1649,165,74,3
32.0,4,830.0,61.00,2003,190,74,3
28.0,4,900.0,75.00,2125,145,74,1
24.0,4,900.0,75.00,2108,155,74,2
